num_licitacao,cod_ug,dat_resultado,modal_compra,objeto,cnpj,ind_matriz,razao_social,situacao_cadastral,dat_sit_cadastral,ano_sit_cadastral,motiv_sit_cadastral,tipo_nat_juridica,dat_ini_ativ,ano_ini_ativ,setor_cnae,qualif_resp,porte_empr,opt_simples
000012019,926755,2020-01-15,"Pregão - Registro de Preço","Pregão Eletrônico -  Contratação de empresa especializada na locação de arquibancadas, disciplinadores, barricadas, box truss, geradores de energia, tendas, camarins, stands, palco, tablado e pavilhão, para atender as demandas da funjope",10878419000102,1,"F5 SERVICOS, PRODUCOES E LOCACOES LTDA",Ativa,2009-06-04,2009,NULL,"Entidades Empresariais",2009-06-04,2009,"Serviços de organização de feiras","Sócio-Administrador ","Micro Empresa",Optante
000012019,926755,2020-01-15,"Pregão - Registro de Preço","Pregão Eletrônico -  Contratação de empresa especializada na locação de arquibancadas, disciplinadores, barricadas, box truss, geradores de energia, tendas, camarins, stands, palco, tablado e pavilhão, para atender as demandas da funjope",32247659000133,1,"ESL PRODUCOES E EVENTOS EIRELI",Ativa,2018-12-13,2018,NULL,"Entidades Empresariais",2018-12-13,2018,"Aluguel de palcos","Titular Pessoa Física Residente ou Domiciliado no Brasil","Micro Empresa",Optante
000012019,926755,2020-01-15,"Pregão - Registro de Preço","Pregão Eletrônico -  Contratação de empresa especializada na locação de arquibancadas, disciplinadores, barricadas, box truss, geradores de energia, tendas, camarins, stands, palco, tablado e pavilhão, para atender as demandas da funjope",00597918000160,1,"LIGA MONTAGEM DE ESTRUTURAS METALICAS LTDA",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",1996-07-24,1996,"Comércio varejista de móveis","Sócio-Administrador ","Micro Empresa",Optante
000012019,926755,2020-01-15,"Pregão - Registro de Preço","Pregão Eletrônico -  Contratação de empresa especializada na locação de arquibancadas, disciplinadores, barricadas, box truss, geradores de energia, tendas, camarins, stands, palco, tablado e pavilhão, para atender as demandas da funjope",08600611000182,1,"MARCOS ANTONIO MEIRA FILGUEIRA",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",1984-05-09,1984,"Atividades de sonorização e de iluminação","Empresário ","Micro Empresa",Optante
000012019,926755,2020-01-15,"Pregão - Registro de Preço","Pregão Eletrônico -  Contratação de empresa especializada na locação de arquibancadas, disciplinadores, barricadas, box truss, geradores de energia, tendas, camarins, stands, palco, tablado e pavilhão, para atender as demandas da funjope",04829970000155,1,"JOSE DA SILVA ARAUJO - FILMAGEM",Ativa,2004-11-13,2004,NULL,"Entidades Empresariais",2002-01-04,2002,"Filmagem de festas e eventos","Empresário ","Micro Empresa",Optante
000012019,927706,2020-01-14,"Pregão - Registro de Preço","Pregão Eletrônico -  Contratada empresa para aquisição de combustíveis, com fornecimento contínuo e fracionado, conforme demanda, por um período de 12 (doze) meses",15007646000178,1,"POSTO MONTE BELO III LTDA",Ativa,2011-10-14,2011,NULL,"Entidades Empresariais",2011-10-14,2011,"Comércio varejista de combustíveis para veículos automotores","Sócio-Administrador ",Demais,"Nao Optante"
000012019,925532,2020-01-08,Pregão,"Pregão Eletrônico -  Aquisição de veículos em atendimento ao Programa APSUS, conforme Termo de Adesão da Resolução nº 169/2016 da Secretaria de Estado da Saúde do Paraná e as regras estipuladas no Contrato de Empréstimo, celebrado entre o Governo",76484161000160,1,"COMPANHIA DE AUTOMOVEIS SLAVIERO",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",1972-04-13,1972,"Comércio a varejo de automóveis","Diretor ",Demais,"Nao Optante"
000012019,927012,2020-01-22,Pregão,"Pregão Eletrônico -  O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa especializada na prestação de serviços de locação de veículos (locadora), automóvel do tipo passeio, sem motorista e sem combu",05607850000176,1,"PB SERVICOS LTDA",Ativa,2005-03-25,2005,NULL,"Entidades Empresariais",2003-04-24,2003,"Locação de automóveis sem condutor","Sócio-Administrador ","Pequeno Porte",Optante
000012019,927012,2020-01-22,Pregão,"Pregão Eletrônico -  O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa especializada na prestação de serviços de locação de veículos (locadora), automóvel do tipo passeio, sem motorista e sem combu",11399304000190,1,"SR LOCACAO E SERVICOS LTDA",Ativa,2009-12-14,2009,NULL,"Entidades Empresariais",2009-12-14,2009,"Locação de automóveis sem condutor","Sócio-Administrador ","Pequeno Porte",Optante
000012019,925206,2020-01-02,Pregão,"Pregão Eletrônico -  Contratação de empresa para prestação de serviços de manutenção preventiva e corretiva e conservação de elevadores com fornecimento de peças e mão de obra especializada, de acordo com o edital",05823840000178,1,"ELEVADORES ORION LTDA.",Ativa,2003-08-14,2003,NULL,"Entidades Empresariais",2003-08-14,2003,Instalação,"Sócio-Administrador ",Demais,"Nao Optante"
000012019,926136,2020-01-06,Pregão,"Pregão Eletrônico -  Contratação dos serviços de transporte diário de empregados para a Subestação de Tijuco Preto, localizada no Município de Mogi das Cruzes/SP, com utilização de veículos automóveis tipo van, com motoristas, de acordo com as esp",05337133000171,1,"T.R.G. - LOCADORA DE VANS E VEICULOS LTDA",Ativa,2005-09-24,2005,NULL,"Entidades Empresariais",2002-10-10,2002,"Transporte rodoviário coletivo de passageiros","Sócio-Administrador ","Micro Empresa","Nao Optante"
000012019,927448,2020-01-06,"Dispensa de Licitação","Fornecimento de materiais permanentes diversos a fim de atender às necessidades atuais da DF-PREVICOM, de acordo com as especificações, exigências e condições constantes do Projeto Básico e seus Anexos.",28634818000185,1,"N.S.S. COMERCIAL & CONSTRUTORA EIRELI",Ativa,2017-09-13,2017,NULL,"Entidades Empresariais",2017-09-13,2017,"Comércio atacadista de materiais de construção em geral","Titular Pessoa Física Residente ou Domiciliado no Brasil","Pequeno Porte",Excluido
000012019,927448,2020-01-06,"Dispensa de Licitação","Fornecimento de materiais permanentes diversos a fim de atender às necessidades atuais da DF-PREVICOM, de acordo com as especificações, exigências e condições constantes do Projeto Básico e seus Anexos.",35522428000189,1,"JOAO PAULO FERREIRA RUSTIGUEL 03746685150",Ativa,2019-11-14,2019,NULL,"Entidades Empresariais",2019-11-14,2019,"Comercio varejista de artigos de armarinho","Empresário ","Micro Empresa",Optante
000012019,927448,2020-01-06,"Dispensa de Licitação","Fornecimento de materiais permanentes diversos a fim de atender às necessidades atuais da DF-PREVICOM, de acordo com as especificações, exigências e condições constantes do Projeto Básico e seus Anexos.",33365234000191,1,"JJ SIMIONE SERVICOS E CONSTRUCOES EIRELI",Ativa,2019-04-15,2019,NULL,"Entidades Empresariais",2019-04-15,2019,"Instalação e manutenção elétrica","Titular Pessoa Física Residente ou Domiciliado no Brasil","Micro Empresa",Optante
000012019,927448,2020-01-06,"Dispensa de Licitação","Fornecimento de materiais permanentes diversos a fim de atender às necessidades atuais da DF-PREVICOM, de acordo com as especificações, exigências e condições constantes do Projeto Básico e seus Anexos.",24694384000158,1,"ADRIANA GONCALVES DA COSTA",Ativa,2016-04-29,2016,NULL,"Entidades Empresariais",2016-04-29,2016,"Comércio varejista de artigos de papelaria","Empresário ","Micro Empresa",Optante
000012019,927448,2020-01-06,"Dispensa de Licitação","Fornecimento de materiais permanentes diversos a fim de atender às necessidades atuais da DF-PREVICOM, de acordo com as especificações, exigências e condições constantes do Projeto Básico e seus Anexos.",03961467000196,1,"MULTI QUADROS E VIDROS LTDA",Ativa,2004-04-09,2004,NULL,"Entidades Empresariais",2000-07-27,2000,"Comércio varejista de outros produtos não especificados anteriormente","Sócio-Administrador ","Pequeno Porte",Optante
000012019,927827,2020-01-22,"Dispensa de Licitação","Aquisição de 2 (dois) aparelhos de ar condicionado, com capacidade de 10.000 BTUs, 110/127V, tipo janela.",01754239000896,2,"REFRIGERACAO DUFRIO COMERCIO E IMPORTACAO LTDA",Ativa,2008-04-16,2008,NULL,"Entidades Empresariais",2008-04-16,2008,"Comércio atacadista de máquinas e equipamentos para uso comercial","Administrador ",Demais,"Nao Optante"
000012019,114622,2020-01-24,"Tomada de Preços","O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa especializada na execução de serviços de engenharia necessários para a instalação de novo Datacenter secundário do IBGE em São Paulo/SP com forneci",43209436000106,1,"ACECO TI LTDA.",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",1972-01-02,1972,"Outras obras de instalações em construções não especificadas anteriormente","Sócio-Administrador ",Demais,"Nao Optante"
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",13944402000196,1,"AG - COMERCIO DE MAQUINAS E EQUIPAMENTOS DE INFORMATICA EIRELI",Ativa,2011-06-28,2011,NULL,"Entidades Empresariais",2011-06-28,2011,"Fabricação de periféricos para equipamentos de informática","Titular Pessoa Física Residente ou Domiciliado no Brasil","Micro Empresa",Optante
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",26383168000117,1,"PROSAUDE MATERIAL MEDICO HOSPITALAR EIRELI",Ativa,2016-10-19,2016,NULL,"Entidades Empresariais",2016-10-19,2016,"Comércio atacadista de máquinas","Titular Pessoa Física Residente ou Domiciliado no Brasil","Pequeno Porte",Optante
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",82641325002161,2,"CREMER S.A.",Ativa,2005-03-05,2005,NULL,"Entidades Empresariais",2000-07-18,2000,"Comércio atacadista de instrumentos e materiais para uso médico","Administrador ",Demais,"Nao Optante"
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",09485574000171,1,"PROHOSPITAL COMERCIO HOLANDA LTDA",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",1979-08-07,1979,"Comércio atacadista de medicamentos e drogas de uso humano","Sócio-Administrador ",Demais,"Nao Optante"
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",11877124000176,1,"PREVIX PRODUTOS PARA SAUDE LTDA",Ativa,2010-04-29,2010,NULL,"Entidades Empresariais",2010-04-29,2010,"Comércio atacadista de instrumentos e materiais para uso médico","Sócio-Administrador ","Micro Empresa",Optante
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",16743543000139,1,"POSTERARI ASSESSORIA TECNICA EIRELI",Ativa,2012-08-09,2012,NULL,"Entidades Empresariais",2012-08-09,2012,"Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente","Titular Pessoa Física Residente ou Domiciliado no Brasil","Pequeno Porte",Optante
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",05343029000190,1,"MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LTDA",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",2002-09-25,2002,"Comércio atacadista de instrumentos e materiais para uso médico","Sócio-Administrador ",Demais,Excluido
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",05329222000176,1,"SELLENE COMERCIO E REPRESENTACOES LTDA",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",1977-03-30,1977,"Comércio atacadista de medicamentos e drogas de uso humano","Sócio-Administrador ",Demais,"Nao Optante"
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",08766992000174,1,"METHABIO FARMACEUTICA DO BRASIL LTDA",Ativa,2007-04-02,2007,NULL,"Entidades Empresariais",2007-04-02,2007,"Comércio atacadista de medicamentos e drogas de uso humano","Administrador ",Demais,"Nao Optante"
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",23119087000116,1,"NEO MED MATERIAIS HOSPITALARES EIRELI",Ativa,2015-08-21,2015,NULL,"Entidades Empresariais",2015-08-21,2015,"Comércio atacadista de instrumentos e materiais para uso médico","Titular Pessoa Física Residente ou Domiciliado no Brasil","Pequeno Porte",Optante
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",26164075000100,1,"PROVIDER PRODUTOS HOSPITALARES E SANEANTES LTDA",Ativa,2016-08-22,2016,NULL,"Entidades Empresariais",2016-08-22,2016,"Comércio atacadista de instrumentos e materiais para uso médico","Sócio-Administrador ","Pequeno Porte",Excluido
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",04890798000145,1,"ORTOM INDUSTRIA TEXTIL LTDA",Ativa,2005-08-27,2005,NULL,"Entidades Empresariais",2001-06-28,2001,"Confecção de peças do vestuário","Sócio-Administrador ",Demais,Excluido
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",03951140000133,1,"DE PAULI COMERCIO REPRESENTACAO IMPORTACAO E EXPORTACAO LTDA",Ativa,2005-08-27,2005,NULL,"Entidades Empresariais",2000-07-10,2000,"Comércio atacadista de instrumentos e materiais para uso médico","Sócio-Administrador ",Demais,"Nao Optante"
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",61418042000131,1,"CIRURGICA FERNANDES - COMERCIO DE MATERIAIS CIRURGICOS E HOSPITALARES - SOCIEDADE LIMITADA",Ativa,2005-09-24,2005,NULL,"Entidades Empresariais",1966-07-26,1966,"Comércio atacadista de instrumentos e materiais para uso médico","Administrador ",Demais,"Nao Optante"
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",03132196000166,1,"PLACIDOS COMERCIAL LTDA",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",1999-04-22,1999,"Comércio atacadista de instrumentos e materiais para uso médico","Sócio-Administrador ","Pequeno Porte",Excluido
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",18466544000109,1,"PROTECTOR INDUSTRIA E COMERCIO DE PRODUTOS MEDICO HOSPITALARES LTDA",Ativa,2013-07-11,2013,NULL,"Entidades Empresariais",2013-07-11,2013,"Fabricação de materiais para medicina e odontologia","Sócio-Administrador ","Pequeno Porte",Optante
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",02068375000119,1,"MEDICICOR COMERCIAL EIRELI",Ativa,2001-03-08,2001,NULL,"Entidades Empresariais",1997-08-13,1997,"Comércio atacadista de instrumentos e materiais para uso médico","Titular Pessoa Física Residente ou Domiciliado no Brasil",Demais,"Nao Optante"
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",05075964000112,1,"CINCO - CONFIANCA INDUSTRIA E COMERCIO LTDA.",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",2002-05-27,2002,"Comércio atacadista de instrumentos e materiais para uso médico","Sócio-Administrador ",Demais,"Nao Optante"
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",27187758000137,1,"BML HOSPITALAR LTDA",Ativa,2016-08-29,2016,NULL,"Entidades Empresariais",2016-08-29,2016,"Comércio atacadista de próteses e artigos de ortopedia","Sócio-Administrador ","Micro Empresa","Nao Optante"
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",10630049000181,1,"CPH COMERCIO DE PRODUTOS HOSPITALARES EIRELI",Ativa,2009-02-11,2009,NULL,"Entidades Empresariais",2009-02-11,2009,"Comércio atacadista de instrumentos e materiais para uso médico","Titular Pessoa Física Residente ou Domiciliado no Brasil","Micro Empresa",Optante
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",66437831000133,1,"HTS - TECNOLOGIA EM SAUDE COMERCIO IMPORTACAO E EXPORTACAO LTDA",Ativa,2005-09-24,2005,NULL,"Entidades Empresariais",1991-11-06,1991,"Comércio atacadista de instrumentos e materiais para uso médico","Sócio-Administrador ",Demais,"Nao Optante"
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",11619992000156,1,"PRIOM TECNOLOGIA EM EQUIPAMENTOS EIRELI",Ativa,2010-02-25,2010,NULL,"Entidades Empresariais",2010-02-25,2010,"Comércio atacadista de máquinas","Titular Pessoa Física Residente ou Domiciliado no Brasil","Pequeno Porte",Optante
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",05153722000108,1,"BIOS MATERIAIS HOSPITALARES LTDA",Ativa,2005-11-03,2005,NULL,"Entidades Empresariais",2002-07-04,2002,"Comércio atacadista de instrumentos e materiais para uso médico","Sócio-Administrador ","Pequeno Porte",Optante
000012019,150244,2020-01-30,"Pregão - Registro de Preço","Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, dentre outros, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246,",09342946000100,1,"PRIME MEDICAL COMERCIO DE MATERIAL MEDICO EIRELI",Ativa,2007-12-13,2007,NULL,"Entidades Empresariais",2007-12-13,2007,"Comércio atacadista de instrumentos e materiais para uso médico","Titular Pessoa Física Residente ou Domiciliado no Brasil",Demais,Excluido
000012019,158314,2020-01-03,Pregão,"Pregão Eletrônico -  O objeto da presente licitação é a escolha da proposta mais vantajosa para  contratação de pessoa jurídica para prestação de serviços terceirizados com dedicação exclusiva de vigilância desarmada diurna e noturna, conforme con",14292203000103,1,"ACESSO SEGURANCA PRIVADA EIRELI",Ativa,2011-09-14,2011,NULL,"Entidades Empresariais",2011-09-14,2011,"Atividades de vigilância e segurança privada","Titular Pessoa Física Residente ou Domiciliado no Brasil",Demais,Excluido
000012019,158460,2020-01-27,Pregão,"Pregão Eletrônico -  A presente licitação tem por objeto a escolha da proposta mais vantajosa para contratação de empresa para a prestação de serviço de administração e gerenciamento informatizado para fornecimento de combustíveis e lubrificantes,",25165749000110,1,"NEO CONSULTORIA E ADMINISTRACAO DE BENEFICIOS EIRELI",Ativa,2016-07-08,2016,NULL,"Entidades Empresariais",2016-07-08,2016,"Atividades de consultoria em gestão empresarial","Titular Pessoa Física Residente ou Domiciliado no Brasil",Demais,"Nao Optante"
000012019,160389,2020-01-10,"Inexigibilidade de Licitação","Serviço de distribuição de Publicidade Legal do 8º B Log pela Empresa Brasil de Comunicação - EBC",09168704000142,1,"EMPRESA BRASIL DE COMUNICACAO S.A. - EBC",Ativa,2007-11-05,2007,NULL,"Entidades Empresariais",2007-11-05,2007,"Atividades de televisão aberta","Presidente ",Demais,"Nao Optante"
